Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2010-)","52","Azerbaijan","5511","Production","2734","Poultry Meat","2018","2018","1000 tonnes","109","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","52","Azerbaijan","5611","Import Quantity","2734","Poultry Meat","2018","2018","1000 tonnes","35","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","52","Azerbaijan","5911","Export Quantity","2734","Poultry Meat","2018","2018","1000 tonnes","1","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","52","Azerbaijan","5301","Domestic supply quantity","2734","Poultry Meat","2018","2018","1000 tonnes","138","S","Standardized data"
"FBS","Food Balances (2010-)","52","Azerbaijan","664","Food supply (kcal/capita/day)","2734","Poultry Meat","2018","2018","kcal/capita/day","47","Fc","Calculated data"
"FBS","Food Balances (2010-)","52","Azerbaijan","674","Protein supply quantity (g/capita/day)","2734","Poultry Meat","2018","2018","g/capita/day","4.7","Fc","Calculated data"
"FBS","Food Balances (2010-)","12","Bahamas","5511","Production","2901","Grand Total","2018","2018","","","",""
"FBS","Food Balances (2010-)","12","Bahamas","5611","Import Quantity","2901","Grand Total","2018","2018","","","",""
"FBS","Food Balances (2010-)","12","Bahamas","5911","Export Quantity","2901","Grand Total","2018","2018","","","",""
"FBS","Food Balances (2010-)","12","Bahamas","5301","Domestic supply quantity","2901","Grand Total","2018","2018","","","",""
"FBS","Food Balances (2010-)","12","Bahamas","664","Food supply (kcal/capita/day)","2901","Grand Total","2018","2018","kcal/capita/day","2650","Fc","Calculated data"
"FBS","Food Balances (2010-)","12","Bahamas","674","Protein supply quantity (g/capita/day)","2901","Grand Total","2018","2018","g/capita/day","81.62","Fc","Calculated data"
"FBS","Food Balances (2010-)","12","Bahamas","5511","Production","2941","Animal Products","2018","2018","","","",""
"FBS","Food Balances (2010-)","12","Bahamas","5611","Import Quantity","2941","Animal Products","2018","2018","","","",""
